date,total_away_points,total_home_points,num_games,avg_points_per_game
11/03/2025,10842,15353,169,155
11/04/2025,2226,3209,36,150.97222222222223
11/05/2025,2019,3195,35,148.97142857142856
11/06/2025,2803,4002,44,154.6590909090909
11/07/2025,5130,6542,76,153.57894736842104
11/08/2025,4790,5932,68,157.6764705882353
11/09/2025,2325,2931,34,154.58823529411765
11/10/2025,2567,3617,40,154.6
11/11/2025,5654,6981,82,154.08536585365854
11/12/2025,3546,4711,54,152.90740740740742
11/13/2025,1742,2212,26,152.07692307692307
11/14/2025,3454,4068,50,150.44
11/15/2025,5903,6788,82,154.76829268292684
11/16/2025,2481,2739,34,153.52941176470588
11/17/2025,2218,2962,34,152.35294117647058
11/18/2025,4633,5766,68,152.9264705882353
11/19/2025,3446,4057,50,150.06
11/20/2025,2674,3275,38,156.55263157894737
11/21/2025,4995,5825,73,148.21917808219175
11/22/2025,3166,3787,45,154.51111111111112
11/23/2025,3097,3446,43,152.1627906976744
11/24/2025,4504,4876,62,151.29032258064515
11/25/2025,5716,6178,78,152.48717948717947
11/26/2025,5047,5634,72,148.34722222222223
11/27/2025,1501,1520,20,151.05
11/28/2025,3992,4461,58,145.74137931034485
11/29/2025,4426,5566,67,149.13432835820896
11/30/2025,2310,2497,33,145.66666666666666
12/01/2025,1161,1554,18,150.83333333333334
12/02/2025,4100,4692,58,151.58620689655172
12/03/2025,5401,6447,78,151.89743589743588
12/04/2025,737,919,11,150.54545454545453
12/05/2025,1384,1683,21,146.04761904761904
12/06/2025,8252,9250,116,150.8793103448276
12/07/2025,3008,3923,48,144.39583333333334
12/08/2025,443,634,7,153.85714285714286
12/09/2025,2290,3004,35,151.25714285714287
12/10/2025,2433,3235,38,149.1578947368421
12/11/2025,883,1060,13,149.46153846153845
12/12/2025,871,1121,13,153.23076923076923
12/13/2025,7294,8277,102,152.65686274509804
12/14/2025,2050,2724,32,149.1875
12/15/2025,895,1098,13,153.30769230769232
12/16/2025,3108,3848,45,154.57777777777778
12/17/2025,4042,4816,59,150.135593220339
12/18/2025,2310,2645,32,154.84375
12/19/2025,1859,2337,28,149.85714285714286
12/20/2025,5236,6135,75,151.61333333333334
12/21/2025,4099,5009,60,151.8
12/22/2025,3889,5533,61,154.45901639344262
12/23/2025,816,1027,12,153.58333333333334
12/27/2025,185,287,3,157.33333333333334
12/28/2025,2652,3630,41,153.21951219512195
12/29/2025,4537,5751,68,151.2941176470588
12/30/2025,2746,3049,39,148.5897435897436
12/31/2025,3532,3786,49,149.3469387755102
01/01/2026,2833,3029,39,150.30769230769232
01/02/2026,2290,2568,33,147.21212121212122
01/03/2026,8932,9192,120,151.03333333333333
01/04/2026,2781,3064,40,146.125
01/05/2026,1404,1440,19,149.68421052631578
01/06/2026,2201,2181,29,151.10344827586206
01/07/2026,3945,4155,54,150
01/08/2026,4151,4251,57,147.40350877192984
01/09/2026,1046,1103,15,143.26666666666668
01/10/2026,11039,11272,149,149.73825503355704
01/11/2026,1476,1505,20,149.05
01/12/2026,1149,1275,17,142.58823529411765
01/13/2026,2609,2799,35,154.5142857142857
01/14/2026,4552,4699,61,151.65573770491804
01/15/2026,3716,3776,49,152.89795918367346
01/16/2026,504,573,7,153.85714285714286
01/17/2026,10877,10966,145,150.64137931034483
01/18/2026,1000,1082,13,160.15384615384616
01/19/2026,3000,3010,41,146.58536585365854
01/20/2026,2557,2745,36,147.27777777777777
01/21/2026,3790,4135,53,149.52830188679246
01/22/2026,3545,3688,49,147.6122448979592
01/23/2026,1757,1795,25,142.08
01/24/2026,9775,10120,134,148.47014925373134
01/25/2026,264,293,4,139.25
01/26/2026,708,735,10,144.3
01/27/2026,2578,2707,35,151
01/28/2026,3817,3896,53,145.52830188679246
01/29/2026,3820,3952,54,143.92592592592592
01/30/2026,1721,1863,23,155.82608695652175
01/31/2026,10315,10273,138,149.18840579710144
02/01/2026,1899,1883,25,151.28
02/02/2026,1306,1315,18,145.61111111111111
02/03/2026,2157,2369,31,146
02/04/2026,4549,4677,62,148.80645161290323
02/05/2026,3671,3969,51,149.80392156862746
02/06/2026,625,705,9,147.77777777777777
02/07/2026,11051,11539,155,145.74193548387098
02/08/2026,773,782,11,141.36363636363637
02/09/2026,2104,2200,28,153.71428571428572
